Unnamed: 0,Zone,Region,Place,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Category,DSLR Allowed,Number of google review in lakhs,Best Time to visit,id,region,latitude,longitude,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,Destination Name,Continent,Avg Cost (USD/day),Best Season,Avg Rating,Annual Visitors (M),UNESCO Site,Category_encoded
0.0,Northern,Delhi,Delhi,India Gate,War Memorial,1921.0,0.5,4.6,0.0,Yes,Unknown,Historical,Yes,2.6,Evening,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,307
16.0,Western,Maharastra,Mumbai,Marine Drive,Promenade,1767.5,2.0,4.5,0.0,Yes,Unknown,Scenic,Yes,1.5,Evening,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,431
26.0,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013.0,5.0,1.4,1149.0,No,Monday,Recreational,Yes,0.95,All,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,418
27.0,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878.0,2.0,4.2,500.0,Yes,Monday,Historical,Yes,0.9,Morning,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,307
32.0,Southern,Telangana,Hyderabad,Charminar,Landmark,1591.0,1.0,4.5,25.0,Yes,Friday,Historical,Yes,2.1,Morning,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,307
42.0,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921.0,1.5,4.6,30.0,Yes,Monday,Historical,Yes,0.73,Morning,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,307
52.0,Southern,Goa,Goa,Calangute Beach,Beach,1767.5,2.0,4.4,0.0,Yes,Unknown,Scenic,Yes,0.26,Evening,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,431
66.0,Western,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1915.0,1.5,4.6,0.0,Yes,Unknown,Historical,Yes,0.35,Morning,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,307
67.0,Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,400.0,2.0,4.7,0.0,No,Unknown,Religious,No,0.59,Evening,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,420
68.0,Western,Gujarat,Junagadh,Gir National Park,National Park,1965.0,3.0,4.5,3500.0,No,Unknown,Wildlife,Yes,0.08,Morning,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,558
69.0,Western,Gujarat,Bhuj,White Desert,Site,1950.0,2.5,4.6,0.0,Yes,Unknown,Nature,Yes,0.12,Evening,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,389
70.0,Western,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,1890.0,2.0,4.4,200.0,Yes,Monday,Historical,Yes,0.17,Afternoon,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,307
71.0,Western,Gujarat,Somnath,Somnath Temple,Temple,1951.0,2.0,4.8,0.0,No,Unknown,Religious,No,0.39,Morning,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,420
72.0,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,1767.5,3.0,4.9,7500.0,Yes,Unknown,Cultural,Yes,0.1,Evening,Unknown,Unknown,34.8688613,58.3829448,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,121.87,Unknown,4.55,4.5,Unknown,252
